1090,266.70
1907,452.12
2679,678.18
3450,680.72
4222,281.94
4994,340.36
5765,215.90
6537,248.92
7308,678.18
8080,398.78
8851,233.68
9622,144.78
10394,678.18
11197,574.04
11969,398.78
12740,472.44
15616,934.72
1079,368.30
1854,210.82
2625,193.04
4057,332.74
4829,203.20
5600,198.12
6371,205.74
1078,167.64
1892,147.32
4645,142.24
5416,147.32
13455,198.12
14226,223.52
14998,264.16
15769,175.26
16541,152.40
17312,142.24
18084,144.78
18855,149.86
20288,165.10
21091,149.86
22522,162.56
23298,152.40
24069,15.24
24840,35.56
25612,58.42
31006,182.88
31777,15.24
32549,12.70
1080,160.02
1854,167.64
2646,165.10
3438,170.18
4210,167.64
4981,76.20
5752,15.24
6524,114.30
7296,154.94
8067,147.32
14784,154.94
15555,160.02
16327,116.84
17098,12.70
17902,124.46
18673,162.56
19445,78.74
20216,15.24
20987,167.64
21760,12.70
22531,20.32
23302,157.48
24074,152.40
24845,162.56
25617,160.02
26388,12.70
27190,147.32
27985,12.70
28756,38.10
29528,83.82
30300,50.80
31071,142.24
31840,124.46
32612,111.76
33383,127.00
34155,170.18
34926,167.64
35698,114.30
36508,139.70
37280,60.96
38712,58.42
45428,55.88
46199,58.42
1740,558.80
2514,660.40
3287,665.48
4058,599.44
4829,678.18
6261,680.72
7694,673.10
8504,678.18
9276,660.40
10048,678.18
11480,680.72
12252,678.18
13023,579.12
13795,670.56
14566,680.72
21945,668.02
22717,655.32
23488,678.18
24260,680.72
25063,576.58
25834,668.02
26606,670.56
27377,619.76
28149,678.18
28920,629.92
29692,680.72
30467,673.10
31239,660.40
32010,678.18
32782,670.56
33553,680.72
