1087,680.72
1078,680.72
4498,281.94
5269,17.78
6041,20.32
6812,48.26
7583,71.12
8354,40.64
9125,200.66
9917,76.20
10688,53.34
11460,266.70
12231,93.98
13002,144.78
13774,114.30
14545,104.14
15316,60.96
16089,25.40
16860,22.86
18291,236.22
19062,678.18
19834,680.72
25231,444.50
26002,652.78
26774,680.72
28206,474.98
28978,165.10
29749,327.66
30521,439.42
31292,226.06
32077,175.26
32848,185.42
33620,180.34
34392,172.72
35164,177.80
35935,251.46
36706,177.80
37478,259.08
38249,175.26
39024,177.80
43099,175.26
43870,177.80
44641,215.90
45413,175.26
46184,269.24
46956,175.26
47727,226.06
48499,281.94
49270,114.30
50041,251.46
50813,152.40
51597,330.20
52369,419.10
53140,571.50
53911,187.96
54683,172.72
55454,220.98
56226,198.12
56997,180.34
57769,149.86
58541,215.90
59312,652.78
60084,373.38
60855,299.72
61627,101.60
62398,386.08
63170,160.02
63941,543.56
64712,678.18
65484,680.72
66255,665.48
67027,20.32
67799,25.40
68582,670.56
69354,182.88
70128,398.78
70899,566.42
71671,254.00
72442,127.00
73214,193.04
73986,147.32
74757,129.54
75529,327.66
76300,292.10
77072,160.02
77843,154.94
78615,152.40
79386,378.46
80157,680.72
81590,558.80
82362,678.18
83133,680.72
